Name,1/30/25,2/2/25,2/9/25,2/16/25,2/23/25,3/2/25,3/9/25,3/16/25,3/23/25,3/30/25,4/6/25,4/13/25,,2/2/25,2/9/25,2/16/25,2/23/25,3/2/25,3/9/25,3/16/25,3/23/25,3/30/25,4/6/25,4/13/25,Total
@SMB_Attorney,"126,166","126,317","126,711","127,529","128,220","129,445",,,,,,,,151,394,818,691,"1,225",,,,,,,"3,279"
@houseprodesign,4,4,4,4,847,864,,,,,,,,0,0,0,843,17,,,,,,,860
@alex_borkin,485,493,507,608,741,867,,,,,,,,8,14,101,133,126,,,,,,,382
@Franchise_BW,449,670,725,772,809,831,,,,,,,,221,55,47,37,22,,,,,,,382
@GregWasik,684,720,818,871,906,975,,,,,,,,36,98,53,35,69,,,,,,,291
@five2picker,3,3,15,27,136,244,,,,,,,,0,12,12,109,108,,,,,,,241
@steve_ike_,315,360,378,407,440,509,,,,,,,,45,18,29,33,69,,,,,,,194
@308Greenfield,721,727,785,818,832,853,,,,,,,,6,58,33,14,21,,,,,,,132
@beardedbestie,393,427,495,508,516,521,,,,,,,,34,68,13,8,5,,,,,,,128
@storymodedave,181,184,246,253,277,290,,,,,,,,3,62,7,24,13,,,,,,,109
@storymodedave,181,184,246,253,277,290,,,,,,,,3,62,7,24,13,,,,,,,109
@erealander,34,34,82,105,136,140,,,,,,,,0,48,23,31,4,,,,,,,106
@LSPN100,145,162,197,220,242,246,,,,,,,,17,35,23,22,4,,,,,,,101
@jonahnewman_,469,471,502,530,554,566,,,,,,,,2,31,28,24,12,,,,,,,97
@GeniyaTalsky,12,14,42,77,102,105,,,,,,,,2,28,35,25,3,,,,,,,93
@seanrmeagher,237,242,269,296,303,325,,,,,,,,5,27,27,7,22,,,,,,,88
@kevinasrx,723,735,767,783,798,810,,,,,,,,12,32,16,15,12,,,,,,,87
@ContentBySteph,671,678,702,733,743,751,,,,,,,,7,24,31,10,8,,,,,,,80
@heyalper,742,749,780,794,805,816,,,,,,,,7,31,14,11,11,,,,,,,74
@CliffKennedy_3,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,0
@cofoundrynick,240,244,294,304,308,312,,,,,,,,4,50,10,4,4,,,,,,,72
@robertodjg,316,314,358,356,367,386,,,,,,,,-2,44,-2,11,19,,,,,,,70
@petekourounis,394,395,417,442,453,459,,,,,,,,1,22,25,11,6,,,,,,,65
